1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
1.0,0.612372435696,0
1.0,0.612372435696,0
1.0,0.612372435696,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0.0,0
1.0,0.612372435696,0
